scaling_factor,input_dim,hidden_dim,output_dim,noc_rows,noc_cols,grid_size,computation_pes,aggregation_pes,total_used_pes,utilization_pct
1,16,32,16,4,2,8,2,4,6,75.0
2,32,64,32,4,2,8,2,4,6,75.0
4,64,128,64,4,2,8,2,4,6,75.0
8,128,256,128,4,2,8,2,4,6,75.0
12,192,384,192,4,6,24,6,8,14,58.333333333333336
16,256,512,256,6,5,30,8,10,18,60.0
24,384,768,384,6,7,42,18,8,26,61.904761904761905
32,512,1024,512,8,16,128,32,34,66,51.5625
48,768,1536,768,12,13,156,72,26,98,62.82051282051282
64,1024,2048,1024,16,64,1024,128,130,258,25.1953125
